"source_id","source_topic","source_prompt","destination_deck","action","merge_group","rationale","evidence"
"22","Structs","Which decorator auto-generates a fieldwise __init__ constructor for a struct?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"23","Variables & Types","How do you specify hardware-level data types for low-level memory operations?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"24","Pointers","How do you allocate raw memory with UnsafePointer?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Replace raw UnsafePointer allocation with Layout/Allocation/alloc/dealloc.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"25","Variables & Types","How do you cast a vector to a different hardware data type?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"26","Functions","What is the syntax for passing a variable number of arguments?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/functions/"
"27","Variables & Types","How do you define a fixed-size Tuple with multiple types?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"28","Strings & Collections","How do you create a heap-allocated, growable array?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"30","Strings & Collections","What is the difference between String and a literal string like ""hello""?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"31","Variables & Types","How do you declare a value that might be missing or null?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"32","Structs","How do you refer to the current struct's type dynamically inside its own methods?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","manual/structs — confirmed unchanged: `Self` still names the enclosing type."
"33","Structs","How do you overload the '+' operator for a custom struct?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"34","Structs","How do you overload the '[]' operator for reading indexed elements?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"35","Variables & Types","When can you omit the 'var' keyword and implicitly declare a variable?","Mojo 1.0 Fundamentals","Rewrite","","Implicit declarations are deprecated; require var.","TODO verify: https://mojolang.org/docs/manual/types/"
"36","Python Interop","How do you import custom Python files from a local directory?","Mojo 1.0 Libraries, Interop & Tools","Rewrite","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","manual/python — TODO verify `Python.add_to_path` still exists in 1.0; the python module is present in std but this helper is unconfirmed."
"37","Compile-Time Metaprogramming","How do you unroll a loop entirely at compile time?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/comptime-evaluation/"
"38","Compile-Time Metaprogramming","How do you find the optimal SIMD vector width for your CPU at compile time?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/comptime-evaluation/"
"39","Compile-Time Metaprogramming","How do you write a compile-time or runtime assertion for debugging?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/comptime-evaluation/"
"40","Strings & Collections","How do you create a standard dictionary / hash map in Mojo?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"41","Strings & Collections","How do you format strings with variables natively?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"42","Strings & Collections","How do you print without a newline or with a custom separator?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"43","Control Flow & Errors","What is the syntax for a one-line conditional (ternary) operator?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"44","Control Flow & Errors","Does Mojo have a 'switch' or 'match' statement?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"45","Tools & CLI","How do you access command-line arguments passed to your program?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/tools/"
"46","Variables & Types","How do you convert between standard primitive types like Float and Int?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"47","Standard Library","How do you perform standard math operations like square root or max?","Mojo 1.0 Libraries, Interop & Tools","Merge","math-surface","Merge with card 153 into one curated math-surface card.","TODO verify: https://mojolang.org/docs/std/"
"48","Standard Library","How do you quickly read the entire contents of a file?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/std/"
"49","Standard Library","How do you read environment variables at runtime?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/std/"
"50","Standard Library","How do you measure how long a piece of code takes to run?","Mojo 1.0 Libraries, Interop & Tools","Merge","pair-b","Merge with card 104 into one timing/benchmarking concept.","TODO verify: https://mojolang.org/docs/std/"
"51","Control Flow & Errors","How do you explicitly raise a strongly-typed custom exception?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"52","Control Flow & Errors","How do you catch a typed exception and access its fields?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"53","Structs","What are the memory semantics of Mojo structs compared to Python classes?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"54","Pointers","How do you create a Python-like object with shared, heap-allocated reference semantics?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"55","Structs","How do you define public vs private methods or fields in a struct?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"56","Strings & Collections","What is the difference between String and StringSlice?","Mojo 1.0 Fundamentals","Rewrite","","StringSlice was renamed StringSpan.","TODO verify: https://mojolang.org/docs/manual/types/"
"57","Strings & Collections","How do you accurately get the character length of a UTF-8 String?","Mojo 1.0 Fundamentals","Rewrite","","Use final byte/codepoint/grapheme APIs and default grapheme iteration.","TODO verify: https://mojolang.org/docs/manual/types/"
"58","Strings & Collections","What is a Template String (TString) and how does it differ from format()?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"59","Structs","How do you allow a struct to be implicitly converted from another type?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"60","Standard Library","How do you write a unit test to verify that a specific exception is raised?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/std/"
"61","Value Ownership","How do you safely return a reference to a struct's internal field?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/value-ownership/"
"62","Structs","How do you define a custom string representation for printing a struct?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"63","Traits & Generics","What trait must a struct implement to be stored in standard containers like List or Dict?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Containers no longer require the old CollectionElement/Copyable model.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/traits/"
"64","Functions","How do you define and execute an asynchronous function?","Mojo 1.0 Libraries, Interop & Tools","Rewrite","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","std/runtime/asyncrt — changed: async is library surface, not a language fundamental. Outside the stable set; roadmap still lists first-class async as unstarted. Moves to Libraries with an R2 marker."
"65","Standard Library","How do you interact with the filesystem to check if a file or directory exists?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/std/"
"66","Strings & Collections","How do you safely retrieve a value from a Dict with a fallback for missing keys?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"67","Tools & CLI","How do you call a function from an external C library?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/tools/"
"68","Compile-Time Metaprogramming","How do you let the Mojo compiler automatically find the fastest parameter value for your specific CPU?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/comptime-evaluation/"
"69","Modules & Imports","How do you compile a Mojo module into a reusable, compiled package from the command line?","Mojo 1.0 Libraries, Interop & Tools","Rewrite","","mojo package/.mojopkg became mojo precompile/.mojoc.","TODO verify: https://mojolang.org/docs/manual/packages/"
"70","Tools & CLI","How do you compile a Mojo file into a highly optimized, standalone executable?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/tools/"
"71","Functions","What is the required entry point for executing a compiled Mojo program?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/functions/"
"72","Variables & Types","If you implicitly declare a variable without 'var' (e.g., x = 10), is it dynamically typed?","Mojo 1.0 Fundamentals","Rewrite","","Implicit declarations are deprecated; retain static typing as a separate concept.","TODO verify: https://mojolang.org/docs/manual/types/"
"73","Traits & Generics","How do you indicate to the compiler that a trait method is intentionally left unimplemented?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/traits/"
"74","Value Lifecycle","How do you auto-generate copy and move constructors for a struct?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/value-lifecycle/"
"75","Tools & CLI","What is the syntax for standard comments and API docstrings?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/tools/"
"76","Control Flow & Errors","How do you span a long statement or string across multiple lines without syntax errors?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"77","Value Ownership","What is Argument Exclusivity regarding mutable references?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/value-ownership/"
"78","Value Ownership","What is the 'deinit' argument convention used for?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Replace __del__ with __deinit__.","TODO verify: https://mojolang.org/docs/manual/value-ownership/"
"79","Value Ownership","What are the three ways a 'var' argument receives its value?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/value-ownership/"
"80","Value Ownership","How do you declare a struct that is passed in CPU registers instead of by pointer?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/value-ownership/"
"81","Value Ownership","What is the 'ref' argument convention?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/value-ownership/"
"82","Strings & Collections","How do you create a List using literal syntax with type inference?","Mojo 1.0 Fundamentals","Rewrite","","A list expression defaults to Array, not List.","TODO verify: https://mojolang.org/docs/manual/types/"
"83","Strings & Collections","How do you represent a 2D grid using nested Lists?","","Omit","","Omit tutorial-specific nested-List recipe; cover multidimensional layouts explicitly.","TODO verify: https://mojolang.org/docs/manual/types/"
"84","Strings & Collections","How do you use pop() and len() on a List, and how do you access the last element?","Mojo 1.0 Fundamentals","Rewrite","","Refresh Array/StringSpan names and final indexing semantics.","TODO verify: https://mojolang.org/docs/manual/types/"
"85","Modules & Imports","How do you create and import a custom Mojo module?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","manual/packages — confirmed unchanged: any `.mojo` file is a module."
"86","Value Lifecycle","What is the difference between Copyable and ImplicitlyCopyable traits?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/value-lifecycle/"
"87","Structs","How do you overload the '[]' operator for setting indexed elements?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"88","Structs","How do you support multi-dimensional indexing like grid[row, col]?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"89","Structs","How do you define a static method on a struct?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"90","Control Flow & Errors","What is the discard pattern '_' used for in a for loop?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"91","Functions","How do you define default argument values in a function?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/functions/"
"92","Functions","How do you read user input from the terminal?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/functions/"
"93","Functions","How do you indicate that a function has no return value?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/functions/"
"94","Tools & CLI","What is the difference between running 'mojo file.mojo' and 'mojo build file.mojo'?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/tools/"
"95","Structs","How do you define a struct with compile-time parameters for dimensions or sizes?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Preserve parameterized structs but replace beta pointer examples.","TODO verify: https://mojolang.org/docs/manual/structs/"
"96","Structs","How do you define a compile-time constant field inside a struct?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Preserve comptime members but replace beta pointer examples.","TODO verify: https://mojolang.org/docs/manual/structs/"
"97","Pointers","How do you use UnsafePointer arithmetic to index a flat 1D buffer as a 2D grid?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Replace UnsafePointer arithmetic with Pointer.unsafe_offset and final safety rules.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"98","Pointers","How do you copy or zero-fill raw memory buffers?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Rename raw-memory operations to unsafe_* and state safety preconditions.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"99","Compile-Time Metaprogramming","What does the @parameter decorator do on an inner function?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Legacy @parameter closures are deprecated; use capture-list closures.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/comptime-evaluation/"
"100","Python Interop","How do you create a Python tuple from Mojo values?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/python/"
"101","Structs","How do you declare a mutating method on a struct?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"102","Structs","How does the Writable trait's write_to method signature work with Some[Writer]?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/structs/"
"103","Control Flow & Errors","How do you use the modulo operator for toroidal (wrap-around) indexing?","Mojo 1.0 Fundamentals","Merge","absorb-operators-indexing","Fold the modulo example into durable operators/indexing coverage.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"104","Standard Library","How do you use perf_counter_ns() to benchmark code precisely?","Mojo 1.0 Libraries, Interop & Tools","Merge","pair-b","Merge with card 50 into one timing/benchmarking concept.","TODO verify: https://mojolang.org/docs/std/"
"105","Variables & Types","What are Int8, Int16, Int32, and Int64, and how do they differ from Int?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/types/"
"106","Standard Library","How do you seed the random number generator for reproducible vs unique results?","Mojo 1.0 Libraries, Interop & Tools","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/std/"
"107","Value Ownership","How does the 'var' argument convention differ from 'mut' in a function signature?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/value-ownership/"
"108","Control Flow & Errors","How can a context manager's __exit__ suppress or propagate errors from the with block?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"109","Control Flow & Errors","How do you use multiple context managers in a single 'with' statement?","Mojo 1.0 Fundamentals","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/control-flow/"
"110","Functions","How do you run multiple async tasks concurrently and wait for all of them to finish?","Mojo 1.0 Libraries, Interop & Tools","Rewrite","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","std/runtime/asyncrt — changed: same as #64. TaskGroup is real but must be verified against the asyncrt reference, not the manual."
"111","Pointers","What is Pointer and how does it differ from UnsafePointer?","Mojo 1.0 Advanced Language & Systems","Rewrite","","There is one unified Pointer type in final 1.0.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"112","Pointers","When should you store a Pointer inside a struct?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"113","Pointers","What is OwnedPointer and when do you use it?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"114","Pointers","Can you copy an OwnedPointer? How do you transfer ownership?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"115","Pointers","How do you use ArcPointer to create a Copyable struct with shared state?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"116","Pointers","How do you move a value out of, or destroy a value behind, an UnsafePointer?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Use unsafe_take_pointee/unsafe_deinit_pointee on Pointer.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"117","Pointers","How do you choose between the four pointer types: Pointer, OwnedPointer, ArcPointer, and UnsafePointer?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Final pointer family is Pointer, OwnedPointer, and ArcPointer.","TODO verify: https://mojolang.org/docs/manual/pointers/using-pointers/"
"118","Value Lifecycle","When does Mojo destroy a value — at end of scope or earlier?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Replace __del__ with __deinit__ and validate ASAP destruction wording.","TODO verify: https://mojolang.org/docs/manual/value-lifecycle/"
"119","Value Lifecycle","How do you prevent automatic destruction and require explicit cleanup?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Teach Deinitable where False and explicit-destroy contracts.","TODO verify: https://mojolang.org/docs/manual/value-lifecycle/"
"120","Value Lifecycle","How do you extend a value's lifetime past its last use to control when __del__ runs?","Mojo 1.0 Advanced Language & Systems","Rewrite","","Replace __del__ with __deinit__.","TODO verify: https://mojolang.org/docs/manual/value-lifecycle/"
"121","Traits & Generics","How do you combine multiple trait requirements without creating a new named trait?","Mojo 1.0 Advanced Language & Systems","Adapt","","Reuse the durable concept, re-authoring all wording and examples against final 1.0 documentation.","TODO verify: https://mojolang.org/docs/manual/metaprogramming/traits/"
